cidade,area,quartos,banheiros,vagas,andar,animal,mobiliado,condominio,aluguel,iptu,total
Sao Paulo,45,1,2,1,15,1,1,856,3900,150,4956
Rio de Janeiro,150,2,3,4,6,1,0,1700,4000,700,6452
Sao Paulo,60,2,1,0,2,1,0,200,1445,0,1664
Sao Paulo,31,1,1,0,4,1,0,370,2350,56,2806
Sao Paulo,210,4,5,4,4,0,0,1650,9000,772,11540
Sao Paulo,280,3,1,2,0,1,0,0,6000,113,6204
Campinas,93,2,3,2,9,1,0,663,5500,133,6366
Porto Alegre,75,3,2,1,9,1,0,340,1800,109,2276
Sao Paulo,194,3,4,3,0,1,0,0,4000,70,4131
Sao Paulo,41,1,1,1,6,1,1,523,4000,131,4705
Rio de Janeiro,65,1,1,1,8,1,1,2000,5100,250,7416
Sao Paulo,70,2,1,1,13,1,0,761,2150,67,3006
Sao Paulo,278,4,5,2,16,1,1,4052,9000,1261,14430
Rio de Janeiro,35,1,1,0,5,1,0,306,1521,21,1868
Campinas,300,4,4,3,2,1,0,2300,6000,417,8794
Sao Paulo,61,2,1,1,4,1,0,459,1850,0,2333
Rio de Janeiro,130,3,2,1,7,1,0,1660,1700,475,3857
Rio de Janeiro,80,2,1,1,20,1,0,500,900,90,1502
Sao Paulo,164,4,4,2,6,0,0,2159,5000,386,7609
Belo Horizonte,220,4,2,3,3,1,0,450,2422,125,3030
Sao Paulo,45,1,1,0,0,1,0,0,1050,46,1112
Sao Paulo,108,3,2,2,7,1,0,1290,5600,435,7396
Belo Horizonte,128,1,1,0,4,1,1,418,2100,182,2728
Rio de Janeiro,60,1,1,0,10,0,0,450,1800,48,2322
Sao Paulo,250,4,5,4,6,1,0,2050,9800,998,12970
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,2633
Belo Horizonte,170,4,3,4,9,0,0,744,2700,296,3776
Sao Paulo,45,1,1,0,1,0,0,300,1240,0,1556
Sao Paulo,42,1,1,1,15,1,0,686,3500,123,4354
Sao Paulo,164,4,4,3,1,1,0,1840,6000,550,8467
Sao Paulo,70,3,1,1,1,1,0,700,1020,200,1933
Porto Alegre,100,4,3,1,8,1,0,600,2200,159,2992
Sao Paulo,64,2,2,2,4,1,1,1300,4500,440,6298
Belo Horizonte,68,2,1,1,3,1,0,320,1200,27,1563
Belo Horizonte,75,2,2,2,14,0,0,620,2500,264,3418
Sao Paulo,600,4,4,4,9,1,0,7400,8500,3368,19380
Sao Paulo,63,2,2,0,15,0,0,590,1550,152,2312
Sao Paulo,145,3,4,3,1,0,0,1200,6000,750,8027
Sao Paulo,85,2,2,2,3,0,0,1500,2800,292,4628
Sao Paulo,254,4,4,4,7,1,0,3366,9000,1800,14280
Porto Alegre,350,4,4,4,0,1,1,1,9000,359,9520
Sao Paulo,300,4,4,3,0,1,0,0,3500,584,4137
Belo Horizonte,296,4,3,2,0,1,0,0,13500,423,14150
Sao Paulo,64,2,2,2,8,1,0,450,2800,30,3316
Sao Paulo,133,3,2,0,6,1,0,813,2957,38,3846
Campinas,44,1,1,0,7,1,0,350,550,12,919
Campinas,240,3,4,2,0,1,0,0,3000,250,3296
Porto Alegre,70,3,2,1,4,1,0,490,2500,8,3035
Sao Paulo,22,1,1,0,26,1,0,302,2050,45,2423
Porto Alegre,50,1,1,1,1,1,0,350,950,50,1364
Porto Alegre,67,3,2,2,4,1,0,600,2200,50,2883
Sao Paulo,31,1,1,0,6,1,1,430,2300,0,2760
Rio de Janeiro,90,2,1,1,1,1,1,850,3468,191,4554
Rio de Janeiro,109,3,3,1,1,1,0,2000,3800,300,6149
Belo Horizonte,400,4,2,2,0,0,0,0,2500,74,2615
Sao Paulo,300,4,5,4,0,1,1,0,14000,1167,15380
Campinas,284,4,3,3,4,1,0,2340,6000,483,8900
Porto Alegre,70,2,1,1,3,1,1,360,2400,30,2826
Rio de Janeiro,309,4,5,4,7,1,0,2661,6500,682,9927
Sao Paulo,70,2,1,0,0,1,0,0,2100,134,2266
Sao Paulo,360,3,4,1,10,1,0,2300,10000,584,13010
Sao Paulo,30,1,1,1,10,0,0,886,1500,0,2406
Campinas,80,2,2,2,11,1,0,832,2200,171,3231
Belo Horizonte,133,4,4,3,6,0,0,1500,7000,800,9394
Sao Paulo,38,1,1,1,14,0,1,1620,2800,279,4735
Sao Paulo,73,2,2,1,7,1,0,1100,3500,100,4745
Sao Paulo,155,3,4,2,4,1,0,1500,2000,150,3676
Sao Paulo,63,2,2,1,15,1,0,357,3200,50,3648
Sao Paulo,58,2,1,1,1,1,0,0,1400,0,1418
Sao Paulo,48,1,1,0,9,0,1,377,3450,0,3871
Sao Paulo,210,3,4,3,7,1,0,1700,2790,834,5360
Belo Horizonte,100,3,2,2,2,1,0,340,1600,183,2145
Sao Paulo,94,3,2,2,1,1,0,1337,3570,140,5093
Sao Paulo,94,3,3,2,3,1,1,1220,5010,395,6689
Sao Paulo,76,3,1,1,4,1,0,1200,2500,267,3999
Sao Paulo,192,3,3,2,13,1,0,2100,7800,634,10630
Sao Paulo,217,3,4,3,1,1,0,2884,6500,0,9467
Sao Paulo,68,2,1,1,5,1,0,610,1400,35,2063
Sao Paulo,110,3,2,2,2,1,0,1145,2400,247,3823
Belo Horizonte,95,2,2,1,3,1,0,660,1600,164,2446
Sao Paulo,900,4,6,8,0,1,0,0,15000,4417,19640
Sao Paulo,34,1,1,0,5,0,0,347,1200,45,1608
Sao Paulo,192,3,4,3,5,1,0,2000,8000,0,10100
Porto Alegre,62,2,2,1,9,1,0,350,1800,75,2252
Sao Paulo,180,3,3,4,0,1,0,0,3700,184,3940
Campinas,44,1,1,0,3,1,1,350,916,12,1290
Belo Horizonte,100,2,1,1,1,0,0,250,1700,116,2089
Rio de Janeiro,140,3,3,1,24,0,0,900,1370,100,2388
Sao Paulo,170,3,3,3,8,1,1,1570,2800,648,5054
Sao Paulo,100,3,2,2,0,0,0,0,1600,150,1775
Sao Paulo,75,3,2,2,4,1,0,652,1600,82,2355
Rio de Janeiro,52,2,1,0,2,1,0,200,1200,43,1459
Campinas,999,5,7,8,0,1,0,0,14000,667,14880
Sao Paulo,270,4,4,4,8,1,0,2200,7000,1500,10790
Belo Horizonte,50,2,1,1,1,1,0,160,930,60,1163
Campinas,200,3,3,2,0,1,0,650,2210,184,3078
Sao Paulo,71,2,2,0,16,1,0,430,1920,100,2475
Sao Paulo,500,5,4,6,0,1,0,0,13000,250,13450
Sao Paulo,60,2,1,0,0,1,0,0,1080,94,1191
Sao Paulo,110,2,1,0,8,1,0,1100,1300,84,2501
Sao Paulo,210,3,3,4,0,1,0,0,3294,276,3620
Sao Paulo,220,3,4,3,8,1,0,2021,6000,996,9094
Belo Horizonte,200,3,2,5,0,0,0,0,4000,204,4270
Sao Paulo,130,3,4,3,2,1,0,2300,4250,502,7106
Sao Paulo,65,2,2,2,7,1,1,1037,4000,245,5333
Sao Paulo,96,3,2,2,17,1,0,804,3200,250,4295
Sao Paulo,660,4,5,5,12,1,1,4800,20000,1750,26800
Rio de Janeiro,107,3,2,0,7,1,1,1460,3200,270,4972
Rio de Janeiro,105,3,2,0,1,1,0,740,2200,9,2978
Rio de Janeiro,100,3,2,0,7,1,0,900,3290,109,4342
Sao Paulo,287,3,4,4,0,1,1,0,9000,430,9566
Campinas,24,1,1,0,1,0,1,230,1180,9,1434
Sao Paulo,22,1,1,0,0,0,0,0,976,0,991
Sao Paulo,70,1,1,1,0,0,0,0,2529,142,2710
Porto Alegre,44,1,1,1,2,1,1,250,1500,17,1789
Sao Paulo,150,3,2,2,0,0,0,0,2500,0,2538
Sao Paulo,90,1,2,2,9,1,1,998,2900,220,4155
Sao Paulo,200,4,4,2,8,1,1,3000,2800,830,6666
Sao Paulo,320,8,4,0,0,1,0,450,10500,350,11460
Porto Alegre,90,2,1,1,2,0,0,550,1700,110,2385
Sao Paulo,240,4,4,3,9,1,0,2500,2144,834,5506
Sao Paulo,154,4,3,3,21,1,0,1684,7000,1020,9793
Sao Paulo,60,2,2,2,2,1,0,2340,3230,284,5895
Campinas,101,3,2,0,5,1,0,780,2380,91,3282
Porto Alegre,140,3,4,2,0,0,0,0,3090,0,3145
Sao Paulo,500,4,5,8,0,1,0,0,15000,1850,17080
Sao Paulo,110,3,3,3,4,1,0,1195,2350,687,4262
Sao Paulo,110,3,3,2,0,1,0,0,4800,50,4923
Belo Horizonte,90,2,2,2,3,1,0,200,2000,84,2311
Sao Paulo,384,4,6,4,3,0,1,3500,15000,344,19040
Sao Paulo,57,2,1,1,7,1,0,570,1500,67,2157
Sao Paulo,160,3,3,2,5,1,1,1650,1500,419,3589
Sao Paulo,39,1,1,0,8,1,0,330,1250,19,1615
Campinas,78,1,2,1,4,1,0,0,2290,143,2463
Porto Alegre,36,1,1,1,0,1,0,0,762,15,791
Campinas,70,2,1,1,1,1,0,558,1200,0,1774
Belo Horizonte,45,1,1,1,4,0,1,300,3200,0,3543
Sao Paulo,200,3,4,3,1,1,0,3500,8500,1250,13360
Sao Paulo,100,3,3,3,0,1,0,0,4300,120,4485
Sao Paulo,42,1,1,1,14,0,0,0,5000,0,5064
Sao Paulo,280,4,4,1,1,1,1,3000,8000,292,11390
Sao Paulo,28,1,1,1,13,0,1,615,2800,42,3493
Sao Paulo,30,1,1,0,0,0,1,296,1826,30,2176
Belo Horizonte,85,3,2,1,1,1,0,337,1500,88,1945
Campinas,83,1,1,1,4,0,0,500,1080,59,1653
Campinas,85,3,2,2,16,1,1,550,3300,150,4042
Belo Horizonte,90,3,2,2,3,1,0,325,1600,105,2052
Belo Horizonte,50,2,1,0,5,1,0,0,900,100,1012
Rio de Janeiro,50,1,1,0,8,1,0,600,2900,134,3672
Belo Horizonte,300,3,2,3,0,0,0,0,6700,539,7349
Porto Alegre,39,1,1,0,7,1,0,350,850,27,1240
Sao Paulo,750,4,4,6,0,1,0,0,15000,2084,17310
Porto Alegre,60,2,1,0,1,1,0,222,1100,46,1385
Rio de Janeiro,68,2,1,0,4,0,0,750,1250,9,2026
Sao Paulo,70,2,1,1,0,1,0,230,1250,50,1546
Sao Paulo,90,2,2,1,6,1,1,900,6500,89,7572
Rio de Janeiro,258,5,6,0,0,1,0,0,8700,670,9503
Sao Paulo,200,2,2,6,0,1,0,0,4500,292,4860
Sao Paulo,123,2,2,2,6,1,0,1800,2990,625,5453
Sao Paulo,127,3,2,2,0,1,1,220,2150,67,2470
Belo Horizonte,180,4,2,2,0,1,0,0,1800,210,2040
Sao Paulo,110,3,2,0,0,0,0,0,2900,384,3328
Rio de Janeiro,70,2,2,1,7,1,1,585,1719,77,2404
Sao Paulo,35,1,1,1,8,1,1,720,3000,130,3889
Sao Paulo,219,3,2,2,0,1,0,0,2900,150,3094
Rio de Janeiro,25,1,1,0,0,1,0,50,700,0,760
Rio de Janeiro,170,4,5,0,10,1,0,1200,7100,639,9031
Rio de Janeiro,45,1,1,0,8,1,0,900,1570,98,2589
Belo Horizonte,420,4,4,2,0,0,0,0,7000,200,7315
Porto Alegre,46,1,1,0,4,1,0,0,1040,48,1104
Sao Paulo,145,3,3,2,1,1,1,1088,5800,250,7212
Belo Horizonte,59,2,2,1,2,1,0,190,1100,59,1364
Belo Horizonte,225,4,3,0,8,1,0,1850,7500,466,9916
Sao Paulo,210,4,4,3,3,1,0,2270,4675,1110,8115
Porto Alegre,76,1,1,0,0,1,0,209,1249,52,1529
Sao Paulo,220,3,4,3,2,0,0,2500,5150,1250,8966
Sao Paulo,109,3,2,2,7,1,0,1746,2500,134,4412
Belo Horizonte,95,2,1,1,3,1,0,646,1000,120,1780
Sao Paulo,32,1,1,0,0,0,0,280,1500,50,1850
Sao Paulo,480,4,6,5,9,1,0,6660,15000,3063,24910
Sao Paulo,53,1,1,1,3,1,0,694,4390,200,5340
Sao Paulo,40,1,1,0,0,0,0,0,780,17,809
Sao Paulo,50,1,1,1,4,1,1,500,3223,100,3864
Sao Paulo,60,1,1,0,0,1,0,0,1300,255,1575
Porto Alegre,64,2,2,2,7,0,0,450,1500,50,2022
Rio de Janeiro,140,3,3,2,4,1,1,2280,12000,535,14970
Sao Paulo,121,3,3,1,12,1,0,800,2040,334,3200
Campinas,43,1,1,1,4,1,1,498,2100,84,2709
Sao Paulo,20,1,1,1,3,0,1,1700,1360,0,3078
Campinas,58,2,1,1,3,1,0,289,950,11,1263
Belo Horizonte,570,5,6,7,0,1,1,0,8330,873,9340
Sao Paulo,88,2,1,1,2,1,0,980,2790,0,3806
Sao Paulo,89,3,2,2,19,1,0,900,6000,184,7161
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,2633
Sao Paulo,40,1,1,0,0,1,0,0,1100,50,1167
Rio de Janeiro,40,1,1,0,1,1,1,386,1950,91,2453
Rio de Janeiro,60,1,2,1,3,1,0,400,750,80,1240
Sao Paulo,25,1,1,0,14,1,0,257,1650,0,1928
Porto Alegre,50,2,1,0,13,1,0,340,1130,30,1517
Porto Alegre,90,3,1,0,1,1,0,145,1130,55,1347
Sao Paulo,173,3,3,3,2,1,0,3000,2000,825,5851
Campinas,91,3,2,2,12,1,0,700,2250,175,3154
Sao Paulo,90,3,2,2,6,0,0,1710,1200,109,3035
Sao Paulo,530,5,6,4,2,1,1,8300,15000,5000,28490
Belo Horizonte,155,1,4,0,4,0,0,1117000,2790,64,1120000
Sao Paulo,40,1,1,0,0,0,0,0,1300,0,1317
Sao Paulo,296,4,5,3,3,1,0,0,15000,0,15190
Sao Paulo,87,3,2,1,17,1,0,850,1400,200,2468
Sao Paulo,300,3,3,5,0,1,0,0,5000,584,5660
Sao Paulo,136,3,3,3,13,1,0,1430,4206,364,6054
Sao Paulo,52,2,1,0,4,1,0,0,1340,0,1357
Porto Alegre,94,2,2,2,8,1,0,600,2900,230,3773
Rio de Janeiro,300,4,5,3,7,1,0,3850,12750,750,17520
Rio de Janeiro,100,3,3,1,3,1,0,850,3229,100,4221
Sao Paulo,500,4,6,3,0,1,0,6466,7300,2536,16410
Sao Paulo,240,3,4,3,3,1,1,3600,4950,1000,9613
Belo Horizonte,308,2,3,3,0,1,0,0,2000,171,2204
Sao Paulo,350,4,5,4,15,1,1,2700,4590,1334,8683
Sao Paulo,75,2,2,0,2,1,0,570,1450,0,2039
Sao Paulo,155,3,2,3,4,1,1,2600,11700,667,15120
Sao Paulo,260,3,5,4,12,1,0,2227,6000,1468,9772
Sao Paulo,80,2,2,1,0,0,0,0,1500,184,1707
Rio de Janeiro,85,3,1,1,6,1,0,810,1998,87,2921
Sao Paulo,120,2,2,2,22,0,1,1400,3500,375,5320
Sao Paulo,100,2,2,1,0,1,0,0,1970,0,2000
Sao Paulo,240,4,5,4,6,0,0,1869,3500,717,6131
Sao Paulo,360,7,6,6,0,1,0,0,5270,245,5595
Sao Paulo,42,1,1,0,0,0,0,0,1100,0,1117
Sao Paulo,33,1,1,1,14,1,1,600,2800,112,3548
Rio de Janeiro,48,1,1,0,1,0,0,626,1020,53,1713
Rio de Janeiro,36,1,1,0,5,1,0,350,1130,42,1537
Sao Paulo,270,6,3,6,0,1,0,0,4500,417,4985
Campinas,75,2,1,1,2,1,0,670,1200,121,2007
Rio de Janeiro,46,2,1,0,3,0,0,270,1600,0,1891
Sao Paulo,350,3,3,3,0,0,0,0,10000,1292,11440
Porto Alegre,131,3,3,1,10,1,1,1625,1750,121,3522
Campinas,90,3,2,1,3,1,0,920,1300,129,2366
Rio de Janeiro,26,1,1,0,4,0,0,390,1650,120,2182
Rio de Janeiro,44,1,1,0,3,1,1,400,1100,14,1529
Sao Paulo,70,2,2,0,0,1,0,0,1880,0,1909
Belo Horizonte,40,1,1,0,0,0,0,0,900,0,915
Belo Horizonte,320,4,2,4,0,1,0,0,3200,206,3459
Sao Paulo,213,2,2,3,0,1,0,0,5150,0,5228
Sao Paulo,80,2,1,0,1,0,0,0,1100,0,1114
Campinas,70,1,1,0,6,1,0,500,800,30,1341
Rio de Janeiro,60,2,1,1,5,1,0,690,1500,25,2235
Sao Paulo,270,4,4,4,5,1,0,4500,12850,1834,19350
Rio de Janeiro,70,2,1,1,3,1,0,800,1300,44,2161
Porto Alegre,300,6,2,2,0,1,0,0,6000,242,6349
Sao Paulo,220,4,5,3,14,1,1,2050,12000,750,14950
Porto Alegre,64,2,2,2,7,1,0,450,1600,34,2108
Rio de Janeiro,80,3,3,1,7,0,0,1100,1470,0,2589
Sao Paulo,56,1,1,0,9,1,1,625,2500,81,3238
Sao Paulo,161,4,3,2,1,1,0,1450,10000,467,12040
Sao Paulo,35,1,1,0,0,1,0,350,1350,0,1718
Sao Paulo,720,4,6,5,0,1,1,0,12750,2613,15560
Sao Paulo,280,4,5,4,6,0,0,2500,3200,750,6491
Porto Alegre,96,3,2,0,2,1,0,408,2100,84,2623
Campinas,236,3,4,4,10,1,0,1600,11000,440,13180
Sao Paulo,81,3,2,1,4,1,0,204,1510,0,1734
Sao Paulo,62,2,1,1,1,1,0,580,1650,92,2343
Belo Horizonte,125,3,2,0,2,1,0,150,1200,69,1435
Sao Paulo,37,1,1,1,6,1,1,890,4150,110,5203
Sao Paulo,60,2,2,1,11,1,0,1680,4000,200,5931
Sao Paulo,230,4,2,3,1,1,0,3600,5000,1551,10220
Sao Paulo,210,4,5,2,1,1,1,3800,8500,0,12410
Sao Paulo,450,4,3,8,0,1,0,0,14000,175,14390
Sao Paulo,234,3,5,4,0,1,1,0,3680,400,4136
Belo Horizonte,135,4,3,2,2,0,0,868,2450,308,3659
Sao Paulo,395,4,5,3,0,1,0,0,6000,122,6213
Porto Alegre,92,2,2,1,2,1,0,450,1700,67,2242
Sao Paulo,412,3,5,6,21,1,0,2000,3952,459,6462
Sao Paulo,42,1,1,1,27,1,0,560,5300,100,6028
Sao Paulo,33,1,1,0,12,0,1,385,3000,125,3549
Porto Alegre,28,2,1,1,0,1,0,0,600,0,611
Sao Paulo,190,4,4,2,0,0,0,0,4450,223,4740
Sao Paulo,165,4,3,3,10,1,1,2440,6300,1292,10110
Porto Alegre,44,1,1,0,5,1,0,355,1200,20,1593
Sao Paulo,60,2,1,1,4,1,0,603,1275,109,2004
Sao Paulo,380,3,3,2,1,1,0,3580,11000,1084,15800
Rio de Janeiro,73,2,1,0,4,1,0,375,830,120,1336
Belo Horizonte,19,1,1,0,5,1,0,620,1100,85,1820
Campinas,230,3,5,4,6,1,0,1800,7500,0,9396
Porto Alegre,37,1,1,1,2,1,0,500,2500,0,3037
Sao Paulo,124,3,2,3,7,1,0,1450,6600,300,8434
Rio de Janeiro,115,3,2,1,8,1,1,1090,2680,114,3919
Campinas,600,3,3,4,0,1,0,0,5500,384,5967
Rio de Janeiro,700,5,5,4,0,1,1,1380,15000,1667,18280
Porto Alegre,35,1,1,0,1,1,0,100,815,17,944
Belo Horizonte,15,1,1,0,3,0,1,0,1100,0,1115
Campinas,80,3,2,1,2,1,0,570,1450,125,2164
Porto Alegre,48,1,1,0,4,1,0,200,700,38,949
Belo Horizonte,96,3,2,1,2,1,0,922,1500,137,2579
Sao Paulo,150,3,2,1,7,1,1,1843,6715,340,8984
Belo Horizonte,105,3,2,2,2,0,0,1681,3300,390,5415
Belo Horizonte,204,4,4,4,22,0,1,2701,10000,760,13600
Rio de Janeiro,125,3,1,2,11,1,0,1317,2600,170,4120
Rio de Janeiro,50,2,1,0,3,0,0,490,2300,50,2870
Sao Paulo,250,3,4,3,0,0,0,0,3740,234,4031
Sao Paulo,300,3,4,3,7,1,1,3000,2000,1250,6276
Sao Paulo,80,2,1,1,0,1,0,0,1500,55,1578
Rio de Janeiro,130,3,4,1,2,0,0,1200,1400,334,2953
Sao Paulo,120,2,3,0,2,1,0,904,3300,195,4441
Sao Paulo,540,3,3,4,9,1,0,6200,15000,3500,24890
Sao Paulo,23,1,1,0,23,1,0,392,2100,41,2560
Sao Paulo,15,1,1,0,0,0,1,0,2500,0,2532
Sao Paulo,72,1,2,2,19,1,0,900,4000,200,5151
Rio de Janeiro,95,3,2,2,7,1,0,985,2300,122,3437
Sao Paulo,330,4,5,4,13,1,0,2870,10000,1119,14120
Sao Paulo,75,2,2,2,7,0,1,1600,6600,400,8684
Sao Paulo,53,1,1,1,4,1,0,690,4398,200,5344
Sao Paulo,178,3,2,1,2,0,0,1200,1900,180,3305
Sao Paulo,150,3,2,0,0,1,0,0,4000,24,4085
Sao Paulo,50,2,1,1,4,1,0,520,1200,30,1766
Sao Paulo,150,3,2,1,0,0,0,0,2500,59,2597
Porto Alegre,25,1,1,0,0,1,1,286,984,11,1296
Sao Paulo,210,3,4,4,13,0,0,3150,12000,1155,16460
Belo Horizonte,75,3,2,1,4,1,0,600,1500,75,2195
Belo Horizonte,200,2,4,3,12,1,0,1897,15000,827,17920
Sao Paulo,350,4,4,0,0,1,0,0,8000,989,9110
Porto Alegre,49,2,1,1,7,1,0,360,1150,30,1557
Porto Alegre,40,1,1,0,4,0,1,0,2000,0,2030
Sao Paulo,45,1,1,1,2,0,1,1900,4200,350,6504
Sao Paulo,46,1,1,1,8,0,1,900,7600,118,8715
Sao Paulo,80,2,2,2,15,1,0,2000,11000,0,13140
Sao Paulo,30,1,1,0,3,1,1,400,2850,0,3287
Sao Paulo,80,2,2,2,0,1,0,50,2200,173,2457
Rio de Janeiro,105,2,2,1,10,1,0,1780,1530,134,3464
Belo Horizonte,105,3,2,2,7,1,0,1170,2000,219,3416
Sao Paulo,114,3,1,0,0,1,0,0,2570,150,2759
Sao Paulo,200,3,3,4,0,1,0,0,7000,425,7531
Porto Alegre,120,3,3,2,5,1,0,800,3000,167,4011
Sao Paulo,60,2,2,1,11,1,0,647,4000,21,4719
Sao Paulo,90,2,1,1,1,1,0,1000,3000,50,4089
Rio de Janeiro,53,2,1,0,3,0,0,535,1800,50,2409
Sao Paulo,80,2,2,5,0,1,0,0,3000,59,3105
Campinas,87,4,2,2,4,1,0,784,1600,106,2511
Rio de Janeiro,110,3,1,1,1,1,0,557,5000,188,5810
Belo Horizonte,113,4,2,1,3,1,0,1587,4000,429,6070
Sao Paulo,170,3,2,2,5,0,0,2199,5000,423,7686
Sao Paulo,150,3,2,0,1,0,0,700,3000,42,3781
Porto Alegre,60,2,2,1,11,1,0,469,1500,51,2042
Porto Alegre,43,1,1,0,4,0,1,290,2100,66,2487
Sao Paulo,130,3,2,2,4,1,1,800,3500,0,4345
Sao Paulo,69,3,2,0,7,1,1,650,1900,185,2760
Campinas,306,3,2,2,0,1,0,0,2500,422,2960
Sao Paulo,187,3,2,3,0,1,0,500,3500,193,4246
Sao Paulo,385,3,4,3,0,1,0,0,9000,1500,10640
Sao Paulo,355,4,4,3,0,1,0,0,7300,660,8070
Porto Alegre,90,2,1,1,2,1,0,405,1100,380,1902
Sao Paulo,190,3,4,4,0,1,0,0,5000,275,5351
Campinas,181,2,1,2,0,1,0,0,1400,132,1554
Sao Paulo,350,3,5,4,13,1,0,4000,3490,1750,9285
Belo Horizonte,168,5,3,2,2,1,0,1443,2900,408,4790
Rio de Janeiro,73,2,1,0,1,1,0,1600,2800,204,4641
Sao Paulo,378,5,5,4,4,1,0,4000,3000,2000,9039
Campinas,60,2,1,1,0,1,0,0,1300,180,1500
Belo Horizonte,362,4,5,0,19,0,0,4138,15000,1975,21310
Sao Paulo,90,3,2,0,0,1,0,0,1700,136,1862
Rio de Janeiro,42,1,1,0,4,0,1,500,1973,79,2578
Rio de Janeiro,56,2,1,1,18,1,0,568,1000,88,1669
Sao Paulo,16,1,1,0,1,0,0,0,850,30,891
Sao Paulo,90,2,2,2,15,0,1,1400,10000,0,11530
Belo Horizonte,67,1,1,0,13,1,0,375,850,55,1292
Sao Paulo,488,4,3,3,0,1,0,14130,6400,1214,21820
Rio de Janeiro,30,1,1,0,10,1,0,850,1100,60,2025
Sao Paulo,290,6,3,4,0,1,0,0,8000,1525,9646
Sao Paulo,266,3,3,4,10,1,0,4700,6400,1500,12680
Campinas,47,2,1,1,4,1,0,260,900,25,1197
Rio de Janeiro,590,6,6,2,0,1,1,750,8000,975,9847
Sao Paulo,900,4,9,8,1,1,0,0,15000,5700,20930
Sao Paulo,86,2,1,1,0,1,0,0,2200,110,2344
Sao Paulo,290,3,3,2,0,1,1,0,15000,1000,16230
Porto Alegre,84,3,2,2,4,1,0,750,3300,100,4199
Sao Paulo,160,3,1,2,0,1,0,0,5000,225,5301
Sao Paulo,37,1,1,0,3,0,1,470,3500,127,4142
Campinas,73,3,1,1,4,1,0,308,850,46,1215
